Flight No.,Date,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome
1,2010-06-04,CCSFS SLC 40,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,Success
2,2012-05-22,CCSFS SLC 40,Dragon demo flight C1,525,LEO,NASA,Success
3,2013-03-01,CCSFS SLC 40,Dragon demo flight C2,489,LEO,NASA,Success
4,2013-09-29,CCSFS SLC 40,CASSIOPE,500,PO,MDA,Success
5,2013-12-03,CCSFS SLC 40,SES-8,3170,GTO,SES,Success
1,2010-06-04,CCSFS SLC 40,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,Success
2,2012-05-22,CCSFS SLC 40,Dragon demo flight C1,525,LEO,NASA,Success
3,2013-03-01,CCSFS SLC 40,Dragon demo flight C2,489,LEO,NASA,Success
4,2013-09-29,CCSFS SLC 40,CASSIOPE,500,PO,MDA,Success
5,2013-12-03,CCSFS SLC 40,SES-8,3170,GTO,SES,Success
1,2010-06-04,CCSFS SLC 40,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,Success
2,2012-05-22,CCSFS SLC 40,Dragon demo flight C1,525,LEO,NASA,Success
3,2013-03-01,CCSFS SLC 40,Dragon demo flight C2,489,LEO,NASA,Success
4,2013-09-29,CCSFS SLC 40,CASSIOPE,500,PO,MDA,Success
5,2013-12-03,CCSFS SLC 40,SES-8,3170,GTO,SES,Success
1,2010-06-04,CCSFS SLC 40,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,Success
2,2012-05-22,CCSFS SLC 40,Dragon demo flight C1,525,LEO,NASA,Success
3,2013-03-01,CCSFS SLC 40,Dragon demo flight C2,489,LEO,NASA,Success
4,2013-09-29,CCSFS SLC 40,CASSIOPE,500,PO,MDA,Success
5,2013-12-03,CCSFS SLC 40,SES-8,3170,GTO,SES,Success
1,2010-06-04,CCSFS SLC 40,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,Success
2,2012-05-22,CCSFS SLC 40,Dragon demo flight C1,525,LEO,NASA,Success
3,2013-03-01,CCSFS SLC 40,Dragon demo flight C2,489,LEO,NASA,Success
4,2013-09-29,CCSFS SLC 40,CASSIOPE,500,PO,MDA,Success
5,2013-12-03,CCSFS SLC 40,SES-8,3170,GTO,SES,Success
1,2010-06-04,CCSFS SLC 40,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,Success
2,2012-05-22,CCSFS SLC 40,Dragon demo flight C1,525,LEO,NASA,Success
3,2013-03-01,CCSFS SLC 40,Dragon demo flight C2,489,LEO,NASA,Success
4,2013-09-29,CCSFS SLC 40,CASSIOPE,500,PO,MDA,Success
5,2013-12-03,CCSFS SLC 40,SES-8,3170,GTO,SES,Success
1,2010-06-04,CCSFS SLC 40,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,Success
2,2012-05-22,CCSFS SLC 40,Dragon demo flight C1,525,LEO,NASA,Success
3,2013-03-01,CCSFS SLC 40,Dragon demo flight C2,489,LEO,NASA,Success
4,2013-09-29,CCSFS SLC 40,CASSIOPE,500,PO,MDA,Success
5,2013-12-03,CCSFS SLC 40,SES-8,3170,GTO,SES,Success
1,2010-06-04,CCSFS SLC 40,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,Success
2,2012-05-22,CCSFS SLC 40,Dragon demo flight C1,525,LEO,NASA,Success
3,2013-03-01,CCSFS SLC 40,Dragon demo flight C2,489,LEO,NASA,Success
4,2013-09-29,CCSFS SLC 40,CASSIOPE,500,PO,MDA,Success
5,2013-12-03,CCSFS SLC 40,SES-8,3170,GTO,SES,Success
1,2010-06-04,CCSFS SLC 40,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,Success
2,2012-05-22,CCSFS SLC 40,Dragon demo flight C1,525,LEO,NASA,Success
3,2013-03-01,CCSFS SLC 40,Dragon demo flight C2,489,LEO,NASA,Success
4,2013-09-29,CCSFS SLC 40,CASSIOPE,500,PO,MDA,Success
5,2013-12-03,CCSFS SLC 40,SES-8,3170,GTO,SES,Success
1,2010-06-04,CCSFS SLC 40,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,Success
2,2012-05-22,CCSFS SLC 40,Dragon demo flight C1,525,LEO,NASA,Success
3,2013-03-01,CCSFS SLC 40,Dragon demo flight C2,489,LEO,NASA,Success
4,2013-09-29,CCSFS SLC 40,CASSIOPE,500,PO,MDA,Success
5,2013-12-03,CCSFS SLC 40,SES-8,3170,GTO,SES,Success
1,2010-06-04,CCSFS SLC 40,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,Success
2,2012-05-22,CCSFS SLC 40,Dragon demo flight C1,525,LEO,NASA,Success
3,2013-03-01,CCSFS SLC 40,Dragon demo flight C2,489,LEO,NASA,Success
4,2013-09-29,CCSFS SLC 40,CASSIOPE,500,PO,MDA,Success
5,2013-12-03,CCSFS SLC 40,SES-8,3170,GTO,SES,Success
1,2010-06-04,CCSFS SLC 40,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,Success
2,2012-05-22,CCSFS SLC 40,Dragon demo flight C1,525,LEO,NASA,Success
3,2013-03-01,CCSFS SLC 40,Dragon demo flight C2,489,LEO,NASA,Success
4,2013-09-29,CCSFS SLC 40,CASSIOPE,500,PO,MDA,Success
5,2013-12-03,CCSFS SLC 40,SES-8,3170,GTO,SES,Success
1,2010-06-04,CCSFS SLC 40,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,Success
2,2012-05-22,CCSFS SLC 40,Dragon demo flight C1,525,LEO,NASA,Success
3,2013-03-01,CCSFS SLC 40,Dragon demo flight C2,489,LEO,NASA,Success
4,2013-09-29,CCSFS SLC 40,CASSIOPE,500,PO,MDA,Success
5,2013-12-03,CCSFS SLC 40,SES-8,3170,GTO,SES,Success
1,2010-06-04,CCSFS SLC 40,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,Success
2,2012-05-22,CCSFS SLC 40,Dragon demo flight C1,525,LEO,NASA,Success
